Bin_Start,Pixel_Count
0.0,66
3.99609375,267
7.9921875,554
11.98828125,500
15.984375,107
19.98046875,11
23.9765625,3
27.97265625,3
31.96875,3
35.96484375,5
39.9609375,9
43.95703125,54
47.953125,418
51.94921875,2708
55.9453125,8240
59.94140625,16785
63.9375,24704
67.93359375,25568
71.9296875,25707
75.92578125,25428
79.921875,23742
83.91796875,21647
87.9140625,18995
91.91015625,15802
95.90625,13136
99.90234375,11165
103.8984375,10393
107.89453125,10203
111.890625,10874
115.88671875,12855
119.8828125,14928
123.87890625,17001
127.875,17639
131.87109375,17505
135.8671875,17148
139.86328125,16663
143.859375,16612
147.85546875,16713
151.8515625,16742
155.84765625,17281
159.84375,17173
163.83984375,16602
167.8359375,15988
171.83203125,15216
175.828125,14912
179.82421875,15431
183.8203125,15658
187.81640625,15957
191.8125,15666
195.80859375,14866
199.8046875,14818
203.80078125,14783
207.796875,14938
211.79296875,15075
215.7890625,15012
219.78515625,15886
223.78125,17049
227.77734375,18671
231.7734375,21101
235.76953125,23165
239.765625,24411
243.76171875,24857
247.7578125,23650
251.75390625,21819
255.75,20256
259.74609375,18368
263.7421875,17162
267.73828125,16117
271.734375,15826
275.73046875,15596
279.7265625,15703
283.72265625,15678
287.71875,16072
291.71484375,16621
295.7109375,17392
299.70703125,18393
303.703125,19246
307.69921875,20428
311.6953125,21380
315.69140625,22407
319.6875,22915
323.68359375,23075
327.6796875,22996
331.67578125,22315
335.671875,21985
339.66796875,21476
343.6640625,20130
347.66015625,19284
351.65625,18485
355.65234375,18156
359.6484375,17877
363.64453125,17541
367.640625,17380
371.63671875,17645
375.6328125,18105
379.62890625,19149
383.625,20904
387.62109375,22754
391.6171875,24789
395.61328125,27232
399.609375,27911
403.60546875,27568
407.6015625,25842
411.59765625,23520
415.59375,20919
419.58984375,18402
423.5859375,16972
427.58203125,15860
431.578125,15485
435.57421875,15094
439.5703125,15114
443.56640625,15200
447.5625,15500
451.55859375,16281
455.5546875,16262
459.55078125,16659
463.546875,16373
467.54296875,16106
471.5390625,15237
475.53515625,14854
479.53125,14201
483.52734375,13426
487.5234375,12953
491.51953125,12965
495.515625,13486
499.51171875,14232
503.5078125,15217
507.50390625,16533
511.5,17251
515.49609375,17571
519.4921875,17352
523.48828125,16578
527.484375,15262
531.48046875,13793
535.4765625,12134
539.47265625,10858
543.46875,9409
547.46484375,8290
551.4609375,7273
555.45703125,6522
559.453125,5764
563.44921875,5127
567.4453125,4607
571.44140625,4138
575.4375,3722
579.43359375,3374
583.4296875,3103
587.42578125,2909
591.421875,2842
595.41796875,2664
599.4140625,2546
603.41015625,2529
607.40625,2456
611.40234375,2423
615.3984375,2471
619.39453125,2381
623.390625,2284
627.38671875,2181
631.3828125,2220
635.37890625,2104
639.375,2073
643.37109375,2052
647.3671875,1929
651.36328125,1877
655.359375,1826
659.35546875,1806
663.3515625,1714
667.34765625,1676
671.34375,1740
675.33984375,1661
679.3359375,1574
683.33203125,1551
687.328125,1578
691.32421875,1522
695.3203125,1481
699.31640625,1498
703.3125,1403
707.30859375,1445
711.3046875,1276
715.30078125,1358
719.296875,1265
723.29296875,1294
727.2890625,1274
731.28515625,1299
735.28125,1305
739.27734375,1295
743.2734375,1178
747.26953125,1290
751.265625,1222
755.26171875,1202
759.2578125,1233
763.25390625,1197
767.25,1181
771.24609375,1213
775.2421875,1122
779.23828125,1155
783.234375,1205
787.23046875,1234
791.2265625,1205
795.22265625,1211
799.21875,1205
803.21484375,1193
807.2109375,1278
811.20703125,1243
815.203125,1179
819.19921875,1231
823.1953125,1272
827.19140625,1308
831.1875,1345
835.18359375,1349
839.1796875,1361
843.17578125,1384
847.171875,1465
851.16796875,1488
855.1640625,1541
859.16015625,1522
863.15625,1575
867.15234375,1594
871.1484375,1554
875.14453125,1600
879.140625,1666
883.13671875,1648
887.1328125,1741
891.12890625,1718
895.125,1706
899.12109375,1805
903.1171875,1910
907.11328125,1878
911.109375,1944
915.10546875,1991
919.1015625,2129
923.09765625,2103
927.09375,2141
931.08984375,2157
935.0859375,2145
939.08203125,2181
943.078125,2323
947.07421875,2338
951.0703125,2367
955.06640625,2443
959.0625,2400
963.05859375,2505
967.0546875,2433
971.05078125,2484
975.046875,2553
979.04296875,2593
983.0390625,2589
987.03515625,2706
991.03125,2694
995.02734375,2783
999.0234375,2954
1003.01953125,2889
1007.015625,2954
1011.01171875,2900
1015.0078125,2868
1019.00390625,1764322
