Wavelength_nm,Mean_Intensity
410,913.4097900390625
463,848.6944427490234
500,844.6492538452148
557,395.5071830749512
605,838.8703422546387
666,311.59444427490234
693,897.3032760620117
756,375.9552001953125
807,848.3816986083984
869,397.1747131347656
