Bin_Start_Value,Count_410nm,Count_463nm,Count_500nm,Count_557nm,Count_605nm,Count_666nm,Count_693nm,Count_756nm,Count_807nm,Count_869nm
435.57421875,1085,84,74,2092,119,1792,364,3056,81,2022
439.5703125,1031,59,78,2202,141,1426,365,3580,80,2121
443.56640625,1026,65,72,2319,134,1206,365,3980,100,2120
447.5625,1057,64,72,2262,108,1033,360,4534,78,2166
451.55859375,1056,65,71,2289,104,888,303,5397,82,2259
455.5546875,1026,79,61,2287,110,788,328,5771,86,2317
459.55078125,1032,75,64,2318,113,736,319,6372,83,2278
463.546875,1001,54,82,2334,113,647,302,6561,74,2264
467.54296875,987,62,82,2267,94,592,339,6593,66,2238
471.5390625,1013,80,81,2341,117,535,312,5939,71,2297
475.53515625,976,62,74,2558,93,516,344,5392,64,2419
479.53125,920,74,72,2602,105,465,366,4740,68,2526
483.52734375,863,60,77,2857,115,456,325,3803,79,2679
487.5234375,824,55,52,3172,90,409,278,3178,78,2814
491.51953125,805,56,89,3534,82,406,263,2747,58,2995
495.515625,721,60,65,3956,107,370,281,2505,71,3565
499.51171875,629,49,68,4628,93,359,244,2244,63,4183
503.5078125,637,61,53,5357,102,317,235,2067,66,4693
507.50390625,602,54,80,6105,76,316,236,1900,64,5604
511.5,584,52,72,6436,77,282,243,1833,71,6146
515.49609375,525,60,61,6655,87,265,204,1604,63,6709
519.4921875,494,71,73,6554,74,273,228,1503,66,6764
523.48828125,492,51,65,6242,76,267,201,1329,82,6579
527.484375,452,63,53,5596,84,306,194,1216,69,6129
531.48046875,422,60,72,4904,111,286,160,1126,62,5524
535.4765625,386,59,62,4356,88,266,170,907,76,4683
539.47265625,373,54,67,3681,94,271,157,835,69,4250
543.46875,364,55,68,3210,85,266,199,744,57,3409
547.46484375,332,55,73,2693,72,251,196,654,68,2996
551.4609375,317,44,68,2262,84,237,193,578,64,2479
555.45703125,292,50,72,1947,79,214,182,527,66,2252
559.453125,254,45,59,1660,85,211,183,518,67,1849
563.44921875,255,53,54,1392,87,213,170,491,64,1515
567.4453125,229,57,62,1178,75,234,160,470,78,1281
571.44140625,222,50,60,985,92,235,160,438,56,1087
575.4375,196,56,66,846,107,193,133,443,69,901
579.43359375,215,45,70,757,90,179,162,341,83,747
583.4296875,224,54,63,617,93,189,147,327,50,678
587.42578125,179,47,72,611,91,148,133,317,59,595
591.421875,206,60,87,502,104,189,119,304,52,518
595.41796875,221,52,68,495,77,143,146,271,62,496
599.4140625,224,52,66,466,77,148,147,240,66,444
603.41015625,226,54,66,464,99,136,147,245,68,429
607.40625,198,52,57,425,82,143,161,253,69,408
611.40234375,215,60,60,434,91,132,129,237,61,418
615.3984375,230,48,68,394,105,124,150,247,69,397
619.39453125,220,46,73,410,107,117,145,238,55,368
623.390625,155,35,59,402,90,124,129,225,65,415
627.38671875,165,50,55,375,91,117,130,221,62,366
631.3828125,155,46,57,385,104,123,124,235,66,368
635.37890625,150,58,74,354,122,96,124,216,61,371
639.375,146,35,67,331,83,107,120,206,62,366
643.37109375,149,51,51,313,114,116,108,217,76,369
647.3671875,125,59,73,307,96,96,96,226,58,340
651.36328125,142,50,63,284,117,98,96,211,69,316
655.359375,114,51,64,309,120,102,99,210,67,288
659.35546875,111,54,78,283,115,77,89,215,66,293
663.3515625,113,58,72,247,127,97,89,179,53,254
667.34765625,123,47,62,235,120,103,95,164,61,255
671.34375,100,56,80,280,124,93,81,197,79,228
675.33984375,98,55,67,263,125,87,77,167,66,250
679.3359375,89,43,61,235,140,80,71,156,71,238
683.33203125,100,53,85,233,148,73,72,156,57,241
687.328125,96,46,72,266,130,86,72,151,66,230
691.32421875,91,54,73,228,152,92,79,136,77,212
695.3203125,94,42,73,218,169,74,67,143,83,223
699.31640625,108,46,70,215,146,70,80,144,68,212
703.3125,90,51,70,196,149,77,77,130,68,207
707.30859375,103,63,80,178,175,68,72,136,70,207
711.3046875,71,49,78,159,142,78,77,122,69,175
715.30078125,89,59,83,176,174,81,71,116,66,189
719.296875,87,42,66,165,156,59,71,116,70,175
723.29296875,74,55,73,141,167,86,48,115,63,186
727.2890625,77,36,61,175,190,76,58,118,72,162
